country,2008
Afghanistan,0.0363
Angola,18
Albania,0
UAE,0
Argentina,0
Armenia,0
Australia,0
Austria,0
Azerbaijan,0
Burundi,14.9
Belgium,0
Benin,26.8
Burkina Faso,33.1
Bangladesh,0.946
Bulgaria,0
Bahrain,0
Bahamas,0
Bosnia and Herzegovina,0
Belarus,0
Belize,0
Bolivia,0.0114
Brazil,0.0122
Barbados,0
Brunei,0
Bhutan,0
Botswana,0.318
Central African Republic,24.1
Canada,0
Switzerland,0
Chile,0
China,0.00011
Cote d'Ivoire,23.1
Cameroon,24.2
"Congo, Dem. Rep.",32.6
"Congo, Rep.",29.6
Colombia,0.0131
Comoros,0
Cape Verde,0.0831
Costa Rica,0
Cuba,0
Cyprus,0
Czech Republic,0
Germany,0
Djibouti,0.165
Denmark,0
Dominican Republic,0.0178
Algeria,0
Ecuador,0
Egypt,0
Eritrea,0.159
Spain,0
Estonia,0
Ethiopia,7.04
Finland,0
Fiji,0
France,0
"Micronesia, Fed. Sts.",0
Gabon,22.5
UK,0
Georgia,0
Ghana,19
Guinea,32.7
Gambia,23.7
Guinea-Bissau,33
Equatorial Guinea,38.7
Greece,0
Grenada,0
Guatemala,0
Guyana,0.514
Honduras,0.00992
Croatia,0
Haiti,0.608
Hungary,0
Indonesia,0.329
India,0.234
Ireland,0
Iran,0.00072
Iraq,0
Iceland,0
Israel,0
Italy,0
Jamaica,0
Jordan,0
Japan,0
Kazakhstan,0
Kenya,13.7
Kyrgyz Republic,0
Cambodia,0.695
South Korea,0
Kuwait,0
Lao,0.112
Lebanon,0
Liberia,21.8
Libya,0
St. Lucia,0
Sri Lanka,0
Lesotho,0
Lithuania,0
Luxembourg,0
Latvia,0
Morocco,0
Moldova,0
Madagascar,3.63
Maldives,0
Mexico,0
North Macedonia,0
Mali,38.6
Malta,0
Myanmar,2.13
Montenegro,0
Mongolia,0
Mozambique,15.7
Mauritania,15.2
Mauritius,0
Malawi,15.7
Malaysia,0.0109
Namibia,2.11
Niger,27.5
Nigeria,36.1
Nicaragua,0
Netherlands,0
Norway,0
Nepal,0.0109
New Zealand,0
Oman,0
Pakistan,0.101
Panama,0
Peru,0.0279
Philippines,0.0179
Papua New Guinea,4.92
Poland,0
North Korea,0
Portugal,0
Paraguay,0
Qatar,0
Romania,0
Russia,0
Rwanda,6.04
Saudi Arabia,0
Sudan,26.6
Senegal,19.5
Singapore,0
Solomon Islands,2.19
Sierra Leone,24.7
El Salvador,0
Somalia,11.2
Serbia,0
Sao Tome and Principe,0.777
Suriname,0.205
Slovak Republic,0
Slovenia,0
Sweden,0
Eswatini,0.0285
Syria,0
Chad,36.8
Togo,24.1
Thailand,0.0717
Tajikistan,0
Turkmenistan,0
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Tanzania,16.2
Uganda,29
Ukraine,0
Uruguay,0
USA,0
Uzbekistan,0
St. Vincent and the Grenadines,0
Venezuela,0.00167
Vietnam,0.0187
Vanuatu,0.708
Samoa,0
Yemen,0.311
South Africa,0.0467
Zambia,21.6
Zimbabwe,3.23
